kappa,p_abs
0.0001,4.48438368197215e-05
0.000100161327068543,4.49161796460296e-05
0.000100322914401316,4.49886391730808e-05
0.000100484762418196,4.506121558912e-05
0.000100646871539737,4.51339090826954e-05
0.000100809242187172,4.52067198426592e-05
0.000100971874782413,4.52796480581685e-05
0.000101134769748052,4.53526939186853e-05
0.000101297927507364,4.5425857613977e-05
0.000101461348484306,4.54991393341175e-05
0.00010162503310352,4.55725392694869e-05
0.000101788981790331,4.56460576107725e-05
0.000101953194970753,4.57196945489691e-05
0.000102117673071485,4.57934502753794e-05
0.000102282416519915,4.5867324981615e-05
0.000102447425744121,4.59413188595962e-05
0.000102612701172872,4.6015432101553e-05
0.000102778243235626,4.60896649000254e-05
0.000102944052362538,4.6164017447864e-05
0.000103110128984453,4.62384899382302e-05
0.000103276473532915,4.63130825645971e-05
0.000103443086440159,4.638779552075e-05
0.000103609968139123,4.64626290007865e-05
0.00010377711906344,4.65375831991173e-05
0.000103944539647443,4.66126583104667e-05
0.000104112230326167,4.6687854529873e-05
0.000104280191535346,4.67631720526891e-05
0.000104448423711421,4.6838611074583e-05
0.000104616927291534,4.69141717915383e-05
0.000104785702713532,4.69898543998543e-05
0.000104954750415972,4.70656590961476e-05
0.000105124070838114,4.71415860773514e-05
0.00010529366441993,4.72176355407166e-05
0.0001054635316021,4.72938076838124e-05
0.000105633672826015,4.73701027045262e-05
0.000105804088533779,4.74465208010652e-05
0.000105974779168209,4.75230621719559e-05
0.000106145745172836,4.75997270160449e-05
0.000106316986991906,4.76765155324997e-05
0.000106488505070383,4.77534279208088e-05
0.000106660299853948,4.7830464380783e-05
0.000106832371789001,4.79076251125545e-05
0.000107004721322663,4.7984910316579e-05
0.000107177348902775,4.80623201936351e-05
0.000107350254977902,4.81398549448253e-05
0.000107523439997331,4.82175147715765e-05
0.000107696904411075,4.82952998756406e-05
0.000107870648669872,4.83732104590946e-05
0.000108044673225189,4.84512467243415e-05
0.00010821897852922,4.85294088741108e-05
0.000108393565034888,4.86076971114589e-05
0.000108568433195848,4.86861116397699e-05
0.000108743583466485,4.87646526627555e-05
0.00010891901630192,4.88433203844564e-05
0.000109094732158005,4.89221150092421e-05
0.00010927073149133,4.90010367418116e-05
0.00010944701475922,4.90800857871945e-05
0.000109623582419739,4.91592623507506e-05
0.000109800434931688,4.92385666381712e-05
0.000109977572754611,4.93179988554792e-05
0.00011015499634879,4.93975592090297e-05
0.000110332706175253,4.94772479055108e-05
0.000110510702695769,4.95570651519439e-05
0.000110688986372854,4.96370111556841e-05
0.000110867557669769,4.97170861244212e-05
0.000111046417050522,4.97972902661797e-05
0.000111225564979872,4.98776237893198e-05
0.000111405001923324,4.99580869025377e-05
0.000111584728347137,5.0038679814866e-05
0.00011176474471832,5.01194027356748e-05
0.000111945051504638,5.02002558746713e-05
0.000112125649174609,5.02812394419016e-05
0.000112306538197507,5.03623536477501e-05
0.000112487719043363,5.04435987029405e-05
0.000112669192182966,5.05249748185366e-05
0.000112850958087866,5.06064822059424e-05
0.000113033017230371,5.0688121076903e-05
0.000113215370083554,5.07698916435048e-05
0.00011339801712125,5.08517941181765e-05
0.000113580958818057,5.09338287136892e-05
0.000113764195649341,5.10159956431573e-05
0.000113947728091233,5.10982951200386e-05
0.000114131556620634,5.11807273581357e-05
0.000114315681715212,5.12632925715955e-05
0.000114500103853408,5.13459909749106e-05
0.000114684823514433,5.14288227829194e-05
0.000114869841178272,5.15117882108066e-05
0.000115055157325684,5.15948874741044e-05
0.000115240772438205,5.16781207886921e-05
0.000115426686998146,5.17614883707977e-05
0.000115612901488596,5.18449904369973e-05
0.000115799416393424,5.19286272042169e-05
0.000115986232197281,5.20123988897319e-05
0.000116173349385598,5.20963057111684e-05
0.00011636076844459,5.21803478865034e-05
0.000116548489861255,5.22645256340652e-05
0.000116736514123379,5.23488391725347e-05
0.000116924841719533,5.2433288720945e-05
0.000117113473139078,5.25178744986828e-05
0.000117302408872161,5.26025967254884e-05
0.000117491649409725,5.26874556214566e-05
0.0001176811952435,5.27724514070371e-05
0.000117871046866012,5.28575843030353e-05
0.000118061204770582,5.29428545306124e-05
0.000118251669451324,5.30282623112865e-05
0.000118442441403153,5.3113807866933e-05
0.000118633521121779,5.31994914197849e-05
0.000118824909103714,5.32853131924337e-05
0.000119016605846269,5.33712734078303e-05
0.00011920861184756,5.34573722892844e-05
0.000119400927606504,5.35436100604664e-05
0.000119593553622824,5.36299869454073e-05
0.00011978649039705,5.37165031684993e-05
0.000119979738430518,5.38031589544966e-05
0.000120173298225373,5.38899545285159e-05
0.000120367170284571,5.39768901160368e-05
0.000120561355111879,5.40639659429027e-05
